8,can you watch home and away in the northern territory and what channel?,can you watch home and away in northern territory,I assume so. On network 7
10,How can you differ illegal porn from legal porn?,,"illegal porn has illegal actions performed in it such as brutal violence and genuine rape. If the performer is under 18, it is illegal, if the woman says no, it is illegal. There can not be any vulgar actions such as using the opposite sex as a toilet, that is also illegal."
6,i cant find a sport?,i ahev been tring out for sports but i cant jsut find one i like how did you guys or girls find the sports your playing,"well, I got started pretty young - just start by doing things your friends do, or think of your talents and then apply them into sports w/ similarities of your talents!"
5,Where did my favorites go on internet explorer 7?,"I can't find where my favorites have gone. i am sure they are easy to find, but I can't find them. Help!",The big gold star to the left.  I just figured that out about 20 minutes ago. I been looking for it for days!
5,Does Yahoo have a lottery see e-mail received below - checking validity????,"From:  ""YAHOO LOTTERY PROMOTION"" <christinajoyjones@hotmail.com>  [ Save Address ]  \\nSubject:  CONGRATULATIONS!!! YOU HAVE WON THREE HUNDRED THOUSAND US DOLLARS($300,000)  \\nDate:  Tue, 07 Nov 2006 02:22:51 -0800 \\n\\n\\n \\n \\n \\n \\n \\n \\n  \\n\\n  \\n            Yahoo Lottery\\n       Incoperation \\n               Baley House, Har Road\\n                Sutton, Greater London\\n SM1 4te\\n         United  Kingdom\\n        +4470240792335 \\n\\nThis is to inform you that you have won a prize money of THREE HUNDRED THOUSAND US DOLLARS($300,000) for the month of OCTOBER 2006 Lottery  promotion which is organized by YAHOO LOTTERY INC & WINDOWS LIVE.\\n\\n    YAHOO & MICROSOFT WINDOWS, collects all the email addresses of the people that are active online, among the millions that subscribed to Yahoo and Hotmail we only select five people every Month as our winners through electronic balloting System without the winner applying,we congratulate you for being one of the people selected.\\n\\n              PAYMENT OF PRIZE AND CLAIM\\n \\n      You are to contact your Claims Agent on or before your date of Claim, Winners Shall be paid in accordance with his/her Settlement Centre.\\nYahoo Lottery Prize must be claimed no later than 15 days from date of Draw Notification after the Draw date in which Prize has won. Any prize not claimed within this period will be forfeited.\\n \\nThese are your identification numbers:\\n\\n \\nBatch number.....................YM 09102XN\\nReff number.......................YM35447XN\\nWinning number...................YM09788\\n\\n \\n     These numbers fall within the African agent's Location file, you are requested to contact him and send your winning identification numbers to him, \\n \\nNAME:BARR HOWELL CRESENT\\n \\nE-Mail barrhowellcresent@yahoo.co.uk \\n \\nPhone:  +2348050546449 \\n \\n    You are therefore advised to send the following information to the Cliams Agent to facilitate them and process the transfer of your fund.\\n \\n1. Full name.....................\\n2. Country........................\\n3. Contact Address...................\\n4. Telephone Number......................\\n5. Marital Status...........................\\n6. Occupation..............................\\n7. Age....................................\\n8. SEX...............................\\n \\nCongratulations!! once again.\\nYours in service,\\n                   \\n   \\nMRS CHRISTINA JOY\\n \\n\\n\\n\\n\\n\\n--------------------------------------------------------------------------------","No. It's a well known scam! Ignore and delete it!\\n\\nhttp://www.hoax-slayer.com/issue20.html#one\\n\\nNote the spelling mistakes, African agent?? with a UK yahoo address??\\n\\nThe Postal Code is actually Sutton Court Road ... there is no such address as 'Baley House, Har Road' (from the map, it looks as if the post code is that of the Police HQ in Sutton!)"
3,Do u like 2 fart?,,NO BECUAUSE ITS NOT LADY LIKE BUT IF I HAVE TO HEYY!
7,"I am a realestate sales person , does anyone know of a company that pays weekly and not just by commision?",,"You could become an assistant to an agent.  Agents are independant contractors, and are therefore not employess that recive standard paychecks.  I'm sure your broker wouldn't mind holding you commission checks and cutting them up weekly. I know I wouldn't mind.  I'd happily put your earnings into an intrest bearing accout and cut you a draft from it every week.  You make what money you earn, you are after all a sales person.  Try stepping up your selling a bit, you'll get morre that way than you can on any weekly pay job.  Or maybe just find a diffrent career."
1,What are some good ideas to make your in-home Valentines Day Dinner romantic?,,"This is a hard to answer question without knowing you.  Traditionally you could go for candles, flowers (or flower petals), soft music, your guys' favorite food and wine."
1,What is the best thing to do?,,Teach Others my Culture and Believe's!\\nTry to Explain to Others That Native American Are Still Here and We Are the First People!\\nEducate everyone I can About Who We Are and What We Stand For!!!\\nContinue to Work to Get Back What was Stole/Taken/Cheated  From The People!!!\\nHelp as many of My People as I can!!!  \\nOn Yahoo 360!!!\\n\\nHokahe!!!
9,HOW would you tell your boyfriend that he need to be more romantic?,"If you were in relationship with a guy for 6 years, he is a few years older and you both share a child and you love him very much but the problem is he is so unromantic. You give him hints but he just don't catch on. He does no romantic thing for you not even on specail occassions and he does not like to go out, this just let you feel unattractive, but you love this guy world without end but you are longing for some real romance.","As a guy, I have experience in this.  When women talk, they are talking in a different language.  In my experience, women beat around the bush.  I don't know what kind of hints you are dropping but you need to be up front, direct. Give him some hints of what would be nice.  He may not realize what you are hinting to.  I know I never had a clue when I was being hinted to.  It took me several years.  Go to the book store and get Men are from Mars and Woman are from Venus.  It says allot.  I think I is a great book.  I am sure that there are several books that give you a little more insight on the male mind but that is a good start.  DON""T GIVE UP ON HIM.  Both of you need to sit down and discuss things keeping an open mind and promising that no matter what is said, you won't take offense to it.  It needs to be a conversation that will bring the two of you closer, not a conversation that will drive a stake into either of your hearts.  It is easy to think someone is picking up on your hints.....but sometimes the hints go unnoticed.  Good luck and don't give up. Have a honest conversation.  I have always said one thing to women I have tried to date.  ""Tell me the good truth, tell me the bad truth, just tell me the truth"".  I know I am a big boy and I would rather be hurt a little now than a lot later.  By the way, I am 38, in case you were wondering.   Mike"
3,what is the best vitamin brand in the world?,,Best vitamin brand is produced naturally by nutrilite(www.nutrilite.com).
5,A challenging question about encryted files?,"I just did a ""anti-virus"" scan and when I checked the results this is what I found ""c:&#92;WINDOWS&#92;HELP&#92;msoe.chm\\nThis file couldn't be scanned because it contains encrypted files. Please decrypt the file(s) and scan them manually.""  Can someone help me decrypt this file and scan them manually? Or is this file not important. I have windows 98 2ndE. I am kicking myself right now for not buying a ""mac""!  Hopefully I posted this in the right category. Thank you for your time!","Check out this website:\\nhttp://www.elcomsoft.com/help/aefsdr/index.html?page=scan_for_encrypted_files.htm\\n\\nIt will give you a visual and explanation of your problem and how to decrypt.\\n\\nIts just part of the Windows help file. If you really need it, I can just send it to you since this file will work on both 98 and XP.\\n\\nContact me if you really need it, but I dont think its very important unless you use Windows Help often.\\n\\nIf you have the windows 98 CD then you can basically install it back in or try this:\\nIf the folder C:&#92;Windows&#92;Options&#92;Cabs exist in the computer, you can run SFC and select ""Extract one file from the installation Disk"". Type Windows.chm, click on Start. Extract the file from C:&#92;Windows&#92;Options&#92;Cabs into the C:&#92;Windows&#92;Help folder."
1,"I recently had a talk with god, and he told me to do terrible things!?",Should I do them just because he is the all-powerful one?,"Why have you not started, and you can go to hell for questioning me. Do what I said, and fast. Just grab the goat, and pick up the knife. Then use the matches......\\n                                       Love, God."
1,what does the phrase familiarity breeds contempt mean?,,"The more you know someone, or the closer you are, the more they tend to get on your nerves, because you notice the small things they do on a daily basis.\\n\\nThis is why you have to be careful who you are roomates with.  Sometimes this kills really good friendships."
6,who is the most boring player at manchester united?,,"No man Christiano is fun to watch, eventhough he didnt perform in a some games this season, but who did this season???!!! many of the Man utd arent playing their normal football, they lost the sense of confidence, but they will get it back probably after they reinforce their team. I think the most boring at this time is Darren Fletcher, he isnt defending well in the midfield and isnt performing the kind of passes that are needed in the English leauge"
9,"Who knows all there is to know about ""The Crying Game""?",Do you have a memory that upsets you or makes you feel uncomfortable?,"Closeted all the really bad stuff, like being cheated on, away in deep forgetable hard to reach places in my mind and they almost never surface\\nThe ones that do give me that uncomfortable feeling are the cringeworthy moments when I made a complete tool of myself at points in my life gone by. Fear of repeating them I suppose"
6,why do so many mexican-american people like the Raiders?,Just curious.,Simple Demographics.  Large population supporting their local team.\\n\\n Why do so many elderly Jewish people support the Dolphins?  :)
4,Quick Question?,"Do you think Majoring in Theatre Education and Musical Theatre with a minor in Communication Education is to much, how long do you think it will take me to graduate,  Do you know of any schools that have all of these majors and minor besides SIUE and ISU, in IL.  Which one is better.  I really want to teach musical theatre and preform to!","Where do you plan on teaching? Most school districts don't even have the money for any kind of arts programs for kids. If you want to be a performer, you don't need a degree in theater... success in theater has absolutely nothing to do with what college degrees you have. Do a bit more planning and research about what you want to do. I have many, many friends who have undergraduate AND graduate degrees in theater... they're still waiting tables."
5,automatic or one-button shutdown?,"I would REALLY like to know how to prevent my computer from shutting itself down when I press the power button.\\n\\nI sometimes forget that I have left it on, and have turned off the monitor, so when I come back to it, I try to turn it on, but end up having to wait twice as long.","If you're running Windows XP, this is how to do it (It might also work for some earlier versions of Windows, but I'm not sure).\\n1.  Click the Start button, then go to Control Panel.\\n2.  If you're in Category View, click Performance and Maintenance, then Power Options. If you're in Classic View, simply click Power Options.\\n3.  On the box that pops up, click the tab that says Advanced.\\n4.  Under the Power Buttons section, where it says ""When I press the power button on my computer"" you can click the arrow to drop down a list of options.  It sounds like you would just want to choose the ""Do nothing"" setting.\\n5.  Click OK.\\n\\nI hope that helps!  And I know how you feel by accidentally turning it off!  It can be frustrating."
10,What is a good analogy for the three branches of U.S Government?,,"Moe, Larry, Curley."
3,How much is too much???,"I've been told that drinking too much water is bad, I drink about a gallon a day. Is it really that bad?",Too much is when you're filling you're kidneys faster than you can drain them.
9,if my boyfriend asked me if he could go to a pool party but the party is his ex party what should i answer him,,Give him credit for asking instead of just going.  Are any of your friends going to be there?  If yes tell him of course he can go because you trust him.
2,how does alternative energy/ technology work?,,It just provides energy different ways instead of burning Sulfer and Carbon rich coal.
9,"Any ladies in Birmingham UK, like to wear stilletoes, let me know more?",,"ok I'll answer you, yes me , I think they are soooo sexy the higher the better and they have to be black or red, I like the patent ones too, makes me feel like a bossy woman-pure class. What do you think ? x\\n\\n\\nhey dark _mush I like weirdos they amuse me x"
6,are WWE wrestlers are really getting hurts while fighting?,,YES TOTALLY!!
9,Me and my brother...............?,"We are a very close family, I have 4 brothers in total. Anyway, my brother got with this girl about 18 months ago, she is an only child and seems to find it hard to adapt with a family that is so close.\\nTo cut a long storey short, my brother is no longer speaking to any of us mum included because of things she is saying to him about us. We can all see through her, but he is just besotted with her. She seems to want him all to herself, she is also becoming this way about his friends!\\n\\nWhat should I do, we haven't spoke now for 4 weeks and me and family are all  gutted.","This is a horrible situation to be in and believe it or not there are a lot of girls out there so jealous of a guys good relationship with his family that they do everything in their power to put a stop to that. Your brother will get over this infatuation, because thats alll it is, and when he comes to his senses he will realise that this girls jealousy and possessive, manipulative, self obsessed but insecure nature is coming between him and the people that have supported and cared for him his whole life. Blood is thicker than water. If he truly loves this girl however he will want yer acceptance, life is nothing without a secure loving family unit which ye seem to have.  Until he realises this however ye have to make the first move. No matter how much ye despise this girl ye muct accept that for now, they are together. Arrange a family meal and invite her. Show her that the concept of a loving family does exist as it seems that she doesn't understand that. Be open and friendly towards her and make her feel wanted, your brother will respect this and if he feels that she is accepted then hopefully ye will become close again. I wish you the best of luck and hope that my advice is of some help."
1,Why does Bush go out of White Palace always with his left food? Is he a satanist?,,To prove that he is not a Muslim
3,"If I dont have any dental insurance, how much would it cost to pull out my tooth?",,i totally agree. pulling a tooth unless its a wisdom tooth is only a temporary solution. other teeth will begin to shift casng gum problems and gaps. ultimatly the possible loss of other teeth. do you know for a fact that the tooth needs to be pulled. maybe you need a root canal or a simple filling. if the tooth is extracted please talk to the dentist about prosthetics like a bridge or implant. you also may want to look into a dicount insurance at www.dentalplans.com or financing at www.carecredit.com. both will give you a list of providers in your area. need help ?? email me at L_enderle@hotmail.com
2,history of typhoid fever?,,"Typhoid fever (a.k.a. Enteric fever) is an illness caused by the bacterium Salmonella typhi. Very common worldwide, it is transmitted by ingestion of food or water contaminated with feces from an infected person. The bacteria then multiply in the blood stream of the infected person and are absorbed into the digestive tract and eliminated with the waste.\\n\\nDiagnosis\\n\\nDiagnosis is made by blood, bone marrow or stool cultures and with the Widal test (demonstration of salmonella antibodies against antigens O-somatic and H-flagellar) or, in less affluent countries with the urine diazo test. In epidemics and less wealthy countries, after excluding malaria, dysentery or pneumonia, a therapeutic trial with chloramphenicol is generally undertaken while awaiting the results of Widal test and blood cultures.\\n\\nTreatment\\n\\nTyphoid fever can be fatal. Antibiotics, such as ampicillin, chloramphenicol, trimethoprim-sulfamethoxazole, and ciprofloxacin, are commonly used to treat typhoid fever in developed countries. Prompt treatment of the disease with antibiotics reduces the mortality rate to approximately 1%. Usage of Ofloxacin along with Lactobacillus acidophilus is also recommended.\\n\\nWhen untreated, typhoid fever persists for three weeks to a month. Death occurs in between 10% and 30% of untreated cases. Vaccines for typhoid fever are available and are advised for persons traveling in regions where the disease is common (especially Asia, Africa and Latin America). Typhim Vi is an intramuscular killed-bacteria vaccination and Vivotif is an oral live bacteria vaccination, both of which protect against typhoid fever. Neither vaccine is 100% effective against typhoid fever and neither protects against unrelated typhus.\\n\\nTransmission\\n\\nWhile flying insects feeding on feces may occassionally transfer the bacteria to food being prepared for consumption, the disease is most commonly transmitted through poor hygiene habits and public sanitation conditions. Public education campaigns encouraging people to wash their hands after toileting and before handling food are an important component in controlling spread of the disease.\\n\\nA person may become an asymptomatic carrier of typhoid fever, suffering no symptoms, but capable of infecting others. According to the Centers for Disease Control approximately 5% of people who contract typhoid continue to carry the disease after they recover.\\n\\nThe most notorious carrier of typhoid fever, but by no means the most destructive, was Mary Mallon, also known as Typhoid Mary. In 1907 she became the first American carrier to be identified and traced. She was a cook in New York at the beginning of the 20th Century. Some believe she was the source of infection for several hundred people. She is closely associated with fifty cases and five deaths. Public health authorities told Mary to give up working as a cook or have her gall bladder removed. Mary quit her job, but returned later under a false name. She was detained and quarantined after another typhoid outbreak. She died of a stroke after 23 years in quarantine.\\n\\nAthens\\n\\nIn 430-426 B.C, a devastating plague, which some believe to have been typhoid fever, killed one third of the population of Athens, including their leader Pericles. The balance of power shifted from Athens to Sparta, ending the Golden Age of Pericles that had marked Athenian dominance in the ancient world. The cause of the plague had been unknown before a study in 2006 by Manolis Papagrigorakis of the University of Athens which detected DNA sequences similar to those of the bacterium responsible for typhoid fever. Ancient chronicler Thucydides also contracted the disease, but survived to tell about the plague.\\n\\n\\nGO TO :\\nhttp://www.geocities.com/avinash_abhyankar/history.htm"
5,what is semantic accuracy/correctness?,this question is about the validation and verification of information systems,"in writing program code, semantic correctness means that the program code makes sense to the compiler or interpreter, ie. the program can be executed\\n\\nit usually means there are no typos in variable of function names, or program constructs\\n\\nthis doesn't include logical errors and bugs that might arise because the program hasn't been designed correctly"
5,can anyone tell me a website i could make money off?,i don't care if it has to be a site i have to answer surveys in or answer other peoples questions. i just want to make a little extra money.,"The rule, as always, is to stay away from those that ask you to pay before you can get these surveys. \\n\\nLegitimate market survey companies such as Pinecone Research recruit members based on demographic characteristics -- e.g. mothers of babies 0-12 years old -- and will send surveys of products and services targeting this demographic group. Pinecone Research, however, pays only $5 per survey -- you're definitely not going to be rich with that. They can give you anywhere from 1-5 at most surveys in a month. \\n\\nOther companies simply ask you to answer as many research as possible, and you don't earn anything just the chance to win at a raffle (which I find lame).\\n\\nThe article ""Earning Money from Surveys"" provide a short list of legitimate market research firms and contains explanations of what to look for when joining surveys (and weeding out the fraudulent ones)\\nhttp://www.powerhomebiz.com/vol121/onlinesurvey.htm \\n\\nPinecone Research http://www.pineconeresearch.com\\nGreenField Online http://www.greenfieldonline.com \\nHarris Poll Online http://www.harrispollonline.com  \\nBuzzBack http://www.buzzback.com  \\nSurveySite http://www.surveysite.com \\nSurveySavvy http://www.surveysavvy.com\\nSurvey Spot http://www.surveyspot.com/\\nhttp://www.internetpaidsurveys.com/"
7,Is there a site for budgeting your finances personal and business?,,Some of the resources mentioned above are dated and only address budgets for 2005. Here's a free excel spreadsheet that you can get for FREE from Microsoft.\\n\\nIt's a great tool and will really help you get a handle on your personal finances and how and where you are spending your money.
6,Who is your favorite basketball player?,,LeBron James.  As soon as he came out of high school he instantly turned that team around.  He will never be Michael Jordan but I believe he is the closest we will see for a long time.
2,why do some people place charcoal in open container inside the refrigerator?,,"It's a great odor absorber. Activated charcoal is one of the ingredients in Odor-Eaters. If it'll take the smell out of feet, just think of what it does in refrigerators."
9,My bf matt doesn't know i'm not a virigin how do i tell him known him since 4ht grade!?,"matt and i have known each other since 4th grade we started going out in 6th grade we never had a fight but now i have a problem i tell him everything but for about 5 months now i haven't tole him i'm not a virigin i'm 15 and so is matt the guy i had sex with is 18 he ""says"" he loves me and even though he's in jail for 10 days he still wants to marry me and bla bla bla i love him too but what about matt he lives about 15 miles away we still talk but i hardly see him my family won't he i how someone here could",
1,How Often Do Your Dreams Come True?,I have about 4-5 dreams a year that come true. How often do you have them? Mine usually signify disaster or warnings.,"Two Realities Yet One\\nWhen you dream, you are in Delta and  during the day, your awake in Alpha\\nWhen you dream, lets call dat state Primary Reality and when you are awake Secondary Reality\\nIn Delta the Lower Cerebellum is activated in the back lower part of your brain.\\nWhen you dream there are many levels going on at the same time.  Bcuz u r sleeping, the brain takes the opportunity to repair ur body.  At the same time the adventure of the dream world takes place,  In Delta there is no time therefore many of ur dreams are of the future dat maybe you will get to live only if your timing in your life is right on and only if you remember dat u had dat dream"
7,I have a cousin thats a guy he is an interior designer. Do you think he is gay?,is it gay for a guy to be one?,"no,because the guy off of Extreme home makeover Ty he is a designer and hes not gay.Sometimes they are depending on if they are married to a guy or dating and if they are 15 or older and never had a girlfriend then ill think he is gay.but a guy i know dont want a girlfriend until he graduates from high school and everybody thinks that he is gay but hes not so........."
6,when did the NHL stop using wooden pucks?,,Who told you they used wooden pucks?? If they did use wooden pucks it was pre 1917 and pre NHL. I think someone is pulling your leg.
4,Please help me?,“The primary means of sustaining a competitive advantage is to adjust faster to the environment than your competitors do.” Do you agree or disagree with the statement? Explain your position.,"Are we speaking about biology here? Sociology? Politics?\\n\\nI'll assume biology. On the face of it it would seem true, if environmental conditions changed, the species adapting best to exploit it should out compete the others. Speed in reaching the best adaptation would make sure of it. However if a species were to rapidly adapt to aberrant cyclic changes in the environment, that might not guarantee long term success. And mobility and the ability to relocate as conditions changed might have an advantage over adapting to change until that were no longer possible.\\n\\nSimple algae species have survived for millions of years as more complex species have come and gone."
5,does anybody know were i can get a comp upgrade on the internet or anywere windows me to anything?,i have windows me can i get an upgrade,windows xp upgradebut make sure that your computer is compatible first do the upgrade advisor first from microsoft.
9,Swallow it?,"Has this happened to you?  My girl/ex-girl friend is one of the nicest person i've ever dated, but at the same time she has a nasty temper!  Over the course of two yrs. she and I had major arguments, MOSTLY because of her temper!  Last argument happend two days ago.  She had started an argument because as I was on the phone with her one of my class mates said hello to me and that's it!  She got upset and created this verbal storm.  To make a long story short, she started using profanity.  I told her to stop talking that way and she said, and I quote, ""don't tell me to stop F u c king cursing, i'll fu cking curse whenever i fu cking want to!  At that point i had hung up.  I always told her that she needed to work on her temper in order for me to consider proposing to her being that its been 2yrs already.  She's been seeking counseling for this issue.  She has attempted suicide in the past because of a previous relationship. should i swallow my pride and call or just finally forget her?",
8,Can anyone name all the fraggles?,without cheating :P,"Gobo, Mokey, Red, Wembley, and Boober."
10,People have to claim the land they live on to be able to call it theirs?,"You have rights simply because you are born a human being, or do you have to have a constitution?","As far as land and property goes, in the ""old days"" you simply staked out a claim.  In present time, you actually have to purchase the land you live on and hold a title to that land.  Without a title of ownership, anyone can take it from you.  It's like finders keepers.  If I take something from you and you cannot prove that it was yours with documentation or present some sort of proof in court that you possessed it or I stole it, it's mine and there is nothing you can do about it. Drop $100 bill on the street and see if you can get it back from the person who picks it up.\\n\\nAs far as rights and the constitution.  You do not have to claim the rights of the country you were born in.  If you are born in the United States you recieve a birth certificate and the government documents your existance with a Social Security number.  If you have these thing, you automatically recieve the rights granted to you under the constition."
9,What should I do?,I think a guy at my workplace might like me romantically but I'm not interested in him. \\n\\nI'd rather stay friends. We tease each other and act more like a brother and sister than anything. He's taken and edited some embarrassing photos of me and emailed them to the co-workers that we know. (I'm not too angry about that now but I was when he did that!) He'll occasionally ask me to go to the mall or somewhere else with him but I say no. \\n\\nI don't want to date him; dating to me is very serious and should only be done in view of getting married. I told my mom and she says no; I've asked a guy friend and he reminded me about guys lying about their feelings. \\n\\nI don't want to hurt his feelings at all. Part of me wants to be honest about the situation but another part thinks that he'd stop being my friend if he did that so I should keep it to myself. I have an idea about what to do but I wanted to put it into Yahoo! Answers and get a wider response.\\n\\nSO WHAT DO YOU THINK??!!??,"WHOA- BABY!  \\nI have seen this one before and the first thing that you have to do is stop the teasing!   Teasing can only lead to someone getting hurt!  If this is a good friend then be up front and honest and say \\n""I have been teasing you and for that I am sorry.  I still want to be friends"", leave it at that and STOP the teasing.  \\n\\nTrust me some one will get hurt if you don't stop.  I can not guarantee that some one might already be hurt by what has gone on so far.\\n\\nBest of luck."
8,is rap cool?,i love rap,yes it is i love rap!!!!
6,Where can I get a Notre Dame Pocket Pro?,"I am a riddell pocket pro helmet collector, and I haven't been able to find a Notre Dame pocket pro until the other day, where I saw it on a really old website that is out of service now.  Does anybody know another place that I could find a Notre Dame Pocket Pro?",i saw one at store near me in strongsville ohio
6,Quelle est la cylindrée des motos GP?,La catégorie reine (celle de Valentino Rossi),500 cm3
5,what is the difference between a PDA and a Handheld PC?,,"A PDA is really just a set of databases, whereas a handheld PC actually has an operating system and programs that can be added and removed just like a normal PC only much smaller"
4,Heat--Math--Phycis! Ouch...?,"20 cubic inches of a gas with an absolute pressure of 5 psi is compressed until its pressure reaches 10 psi. What is the new volume of gas? (Assume that theres no change in temperature)\\n\\n--No idea how to figure this out. My book, Google, Ask doesn't help so im laying it on to you guys and girls. Help ASAP! :D","10 cubic inches.\\nF=σA\\nIt's proportional - if there's no change in temperature.\\nSo twice the pressure ≡ half the volume.\\n\\nScalar nature of pressure, in the link below..."
9,Help me problem?,i'm a teenager who is lonely and thinks that when I'm older\\ni might get 2dogs and 2cats.And treat them like my baby.\\nWhat to do?,
9,out of curiosity?,"why do ppl like watchin porn(any kind)? whats so appealing about it?im not against it or anything, i personally dont watch it even though now im startin to get curious, but im just wondering why ppl watch it. btw this goes for both males and females","Everyone has their reasons. Some people like it, some are infatuated, addicted, some people make fun of it, some are trapped into it by a friend/relative/girlfriend/spouse. Some people are numb to it, and are immune, some study it, some are sexually stimulated by it, some just really, really like the idea, like to live in fantasy, some people are obsessed with sex... It's all kinds of possible reasons... Everyone's different. It just depends on a person's prefrence...\\n\\nHm, see watch ""Burning Angels"". They're really pretty girls (rare in porn, sorry, but it's true.) Tattooed/Pierced girls... Porn is funny to me..But it can be hot when I watch it with my husband, and we're bored... good times.."
5,Whats better (2) GeForce 6800's connected via SLI or (1) Geforce 7800GTX?,,"In general the 7800GTX is better. It will usually perform favorably when compared to a 6800 SLI setup and uses much much less power. For detailed comparison, see http://www.tomshardware.com/2005/12/02/vga_charts_viii/page5.html"
3,"I have a bipolar daughter who is 13, she is on various medication and in therapy....?","I am at my wits end, does anybody know of any good support groups or treatments?","Try the Depression and Bipolar Support Alliance at this address:  http://www.dbsalliance.org/\\nThey should be able to direct you to a local chapter or other resources in your area. I wish you and your daughter well. I too am bipolar and just starting to get my life back by medications. Good luck.  Contact me anytime if you like at tls3123283@yahoo.com.  Try my bipolar site for more links that may help, it's free.\\nhttp://www.geocities.com/tls3123283/index"
4,explain: look before you leap?,,Think before you act.
4,when was A christmas carol by charles Dickens first published?,,"A Christmas Carol (full title: A Christmas Carol in Prose, Being A Ghost Story of Christmas) is Charles Dickens' ""little Christmas Book"" first published on December 17, 1843."
8,Which country in the World has the best looking people?,,"The U.S., especially in the south (Texas for 1)!!!!"
5,How do I shut down cpu for transportation to another state so that I do not damage the internal parts?,,"It used to be with old hard drives you had to park the heads before you moved the computer.  With the newest models of hard drives, they automatically park every time power is disconnected.  So now you just have to make sure all the cables are disconnected, and everything is packed securely without a lot of rattling."
3,How can I find a list of nephrologists in the chicago area?,,See link below:
1,Why do some people discard the the evolution theory despite all of the evidence?,,"Most likely because they confuse faith with science and have trouble reconciling the two.  Science, by definition, makes statements that can be tested.  Faith doesn't require proof.  As a scientist, I can look at the evidence that supports evolution and recognize that it makes sense and has yet to be disproved.  I can look at the idea of intelligent design and say ""That's not science, because it can't be tested.  Belief in that idea is based on faith, not scientific proof.""  This does not, however, interfere with my belief in a higher power.  Science tells us how we got here, Faith tells us what we're supposed to do now that we're here."
1,what do you think the elderlys at nursing homes will like for a gift?,plz be cheap and serious. sumthing to keep in mind...prob about 50-100 ppl. sum might have diabetes,"Your time and attention most of all. Don't just buy something and drop it off. Maybe stop in and play some hands of cards with them, or make them some hot cocoa (sugar free if necessary...)  Happy holidays!"
8,are you a vampire or a witch?,"this is odd, i know :)","Definitely a vampire. Hehehehehe.....MUAHAHAHAHA!!!! I COME TO SUCK, YOUR BLOOD!!! MUAHAHAHAHAHA....OH CRAP THE SUN!!! WAAAAHHH!!!!!"
3,"I am 33 and have never had an orgasm. Where exactly is the ""spot"" and what is the best way to get to it?",I hear so much about masturbation but come on... getting turned on about yourself!,"The first thing you have to do is relax...... then start thinking about, well.... whatever turns you on in that way (e.g. the hugest stiffy you've ever seen, for instance... and it being all yours to ""play"" with).\\nNext is the build up...... which mostly involves stroking things such as your thighs / breasts / p*ssy area, etc...... or of course have a willing partner stroke them for you.... may take up to 10-25minutes or more for a good build-up, before moving on to ""the grand finale"" (you may want to try a spot of finger teasing before sticking them right the way in)...... by now you should be getting like a throbbing sensation just above the entrance to the ""garage doors""..... if so, press right up against the throbbing part (either inside or outside ""the garage doors"", or inside and out at the sametime if you really wanna get it going), and rub on it (helps to start it off slowly, then gradually build up speed from there)..... and you should get a sensation almost like you gotta pee (which will be the orgasm building up)........ when you've found the spot, and start getting that sensation..... just keep stimulating it in whatever way you can imagine to make it harder to hold it back..... and the longer you can hold it back when stimulating it, the more intense it'll be when you finally blow.\\n\\nTry not to worry too much about it.... some women find it harder to cum than others..... just try to enjoy working on the build-up, and it'll fire away when it's ready.\\n\\nThere are also certain exercises that should help:\\nhttp://www.geocities.com/HotSprings/Spa/4502/vagex.html"
6,who thinks we should call referees out on the carpet and justify their calls?,THEY SHOULD BE SHOWN THE PLAY AND IF THEY MISSED THE CALL..OWN UP TO IT...\\n\\nIN THIS  GAME..THE BLOWN CALL..WOULD NOT HAVE ADVANCED THE USA TO THE NEXT ROUND..BUT IT DID DECIDE THE GAME...\\n\\nTHE NBA REFS WERE HORRID AT BEST AND I WAS GOING FOR MIAMI..\\n\\nALL REFS NEED TO PUBLICALLY APOLOGIZE FOR MISSED CALLS OR IF THEY ARE CONVICT ON THEIR ABILITY TO CALL THE PLAY...THEN JUSTIFY THEIR CALL.,"I think what it is referring to is the lack of accountability by all referee's in alot of different sports.  True soccer referee's (which I happen to be on for 7 years) are out there on an island and we have the benefit of watching replays, but all officials should have some sort of grading system or be called out when they make a mistake.  If I make a mistake at my job, I get called on it.  What makes officials, especially soccer referee's immune to it?"
6,who will win the derby today?,,Barbaro has emerged as the favorite.  I'm going with Sinister Minister.
1,i need some ideas for fun yet elegant dance party attire?,help!,Cocktail length dresses are always acceptable....something that comes just below the knee should be fine. keep your colors solid and don't show to much skin unless it's tasteful
7,who is now me?,,Anyone else would be a plus.
